video_id,author,comment,published_at,likes,sentiment,toxicity,anomaly,summary,sentiment_label,toxicity_label,anomaly_label
LGLuHYHbCFA,@anilkumartalari2191,nice explanation..good,2023-09-04T07:58:49Z,0,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@stressstayaway,🛐,2023-08-28T12:45:42Z,0,positive,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@sakthikousikr,Really awesome❤,2024-06-04T04:18:13Z,0,negative,non-toxic,normal,,,1,0
LGLuHYHbCFA,@kutlurireddy,Hi Vamsi. Today i seen this videos more than 5 times to know about git and github. Thank you very much vamsi. Telugu lo video super brother,2024-01-08T14:32:12Z,0,positive,non-toxic,normal,,,1,0
LGLuHYHbCFA,@Sowjanya-ck2vw,"very informative, thank you brother",2024-08-28T15:43:02Z,0,negative,toxic,spam,,,1,0
VIBWdLLq9kQ,@amuthans_insight,"Anna maththa youtube channel vida neenga soldrathu nall puriuthu athunala ""mechine learning"" pathi oru brief video podunga anna pls",2023-08-06T12:20:55Z,0,negative,toxic,normal,,,1,0
LGLuHYHbCFA,@MaheshBabu-ok2te,Nice Explanation.. 👏👏👌👌,2023-03-27T08:46:06Z,0,negative,toxic,spam,,,1,0
LGLuHYHbCFA,@mangoandstrawberry1708,got stuck @ 36.03 when i type git branch it shows empty line what do i do,2024-03-13T13:40:54Z,0,positive,non-toxic,normal,,,1,0
LGLuHYHbCFA,@SaiNiharika-u4p,"HI anna, git push chesaka repository lo chusthe changes em avvaledhu anna ,create chesinappudu ela ithe undho same alage undhi ...please help me anna",2023-04-23T15:42:54Z,0,negative,toxic,spam,,,1,0
VIBWdLLq9kQ,@sakthivelmaribe8120,Definitely very useful content by the similar time easy to understand,2024-10-09T07:01:13Z,0,negative,toxic,normal,,,1,0
VIBWdLLq9kQ,@sgokulakisan7216,"Thank you very much bro, happy to know about this video and got a good knowledge on main features of GitHub, a big salute for your content. Keep doing the good work.",2024-05-31T17:35:53Z,1,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@gawaskarprakasam2285,Nice video. Helped all data in 1hr,2025-05-31T18:03:18Z,0,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@johngkitvsr170,Bro sign in enga pannanum,2023-08-17T06:14:19Z,0,neutral,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@Adddraaaa_sakka,Bro cloud computing from scratch to end variko full tutorial podunga bro❤,2023-10-30T10:31:10Z,0,negative,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@GaneshkumarThiraviam,Bro kindly upload cloud technology video,2023-08-04T05:16:49Z,0,negative,toxic,spam,,,1,0
VIBWdLLq9kQ,@aruvin8766,Waiting for this...Finally🎉🎉🎉,2023-07-24T14:36:30Z,0,neutral,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@sowmiyanagaraj3532,Bro git clone url paste after show object not found what can do solve in this problem pls tell bro,2024-03-21T08:49:27Z,0,positive,toxic,spam,,,1,0
LGLuHYHbCFA,@Sudheer-hv7vx,Thank you Vamshi for your time and efforts in making this knowlege share. Much appreciated :),2023-09-26T23:50:19Z,0,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@kamalthelegendkiller,Thanks for the video,2025-08-17T12:31:49Z,0,negative,toxic,normal,,,1,0
Ip2TA2ijDmA,@samadhankawade7794,Thanks Prashant this is very helpful content.,2025-10-30T12:03:15Z,0,positive,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@saiprasanthpk17,git clone command is not working for me anyone please help me,2023-12-16T13:48:50Z,0,positive,toxic,spam,,,1,0
LGLuHYHbCFA,@supriya3051,Thank you so much Vamsi for explaining this concept in simple and understandable way. Its very helpful for the newbies. Waiting for you are upcoming videos.,2023-06-29T04:17:41Z,17,negative,toxic,normal,,,1,0
LGLuHYHbCFA,@Unknown-fe4uk,Thank you ❤,2024-07-28T12:12:19Z,0,negative,toxic,spam,,,1,0
VIBWdLLq9kQ,@thirumalaivasan8192,👏🏻👏🏻👏🏻,2024-12-15T17:54:46Z,0,negative,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@charithr6330,"Bro your way of teaching is too good, even an absolute beginner can  learn. Thanks and much to you man😊",2023-09-26T01:49:44Z,0,neutral,non-toxic,normal,,,1,0
LGLuHYHbCFA,@HariKrishnaGandavarapu,Cristal clear explanation Vamsi Bro!!,2023-06-12T17:11:50Z,0,negative,toxic,spam,,,1,0
VIBWdLLq9kQ,@charulatha1725,Waiting for this topic...Thank you 💥,2023-07-24T13:21:13Z,1,negative,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@Praveen_C11,1:03:02,2024-07-11T12:20:35Z,0,negative,toxic,normal,,,1,0
VIBWdLLq9kQ,@aj-gfx,Git forking podunga bro,2023-07-30T18:34:09Z,0,negative,toxic,normal,,,1,0
LGLuHYHbCFA,@praveenfilhos2077,"great work bro , very helpful",2025-03-05T14:19:17Z,0,positive,toxic,normal,,,1,0
LGLuHYHbCFA,@chillakalyan,"6:35 Installation of git
37:43 Branches 
48:00 Creating new branch
50:00 Fork the other repository
58:35 Merge conficts",2024-01-26T00:59:09Z,83,positive,toxic,spam,,,1,0
