video_id,author,comment,published_at,likes
Ip2TA2ijDmA,@sujatamali31,"For CI/CD, do we need to learn both jenkins and gitlab?
will it be fine if i learn only gitlab?",2025-11-12T05:31:25Z,0
Ip2TA2ijDmA,@rajatgupta7646,"Aapne ek cheez ni btayi before_script btate time... Actually before_script step jo humne global level pr likha tha wo execute ni hua build stage k time... Aur uska reason ye h kyuki humne before_script dubara se mention kra tha build stage mein, jiski vjh se global level wala before_script execute ni hua and local wala before_script execute hua build stage me.. Which means hum global level wale before_script ko override kr skte h by declaring before_script locally in that particular stage",2025-11-09T07:29:29Z,0
Ip2TA2ijDmA,@samadhankawade7794,Thanks Prashant this is very helpful content.,2025-10-30T12:03:15Z,0
Ip2TA2ijDmA,@AliMurtaza-g8p6l,"bhai, superlative YAML file explanation ever. Thank You!",2025-10-17T07:04:35Z,0
Ip2TA2ijDmA,@raj11044,Very useful,2025-10-09T18:42:38Z,0
Ip2TA2ijDmA,@anilavhad2958,Thanks bro for the session,2025-10-09T11:02:08Z,0
Ip2TA2ijDmA,@avnishbhardwaj747,After watching this I think I don't need to watch other video as each things are well explained....... Now I am trying myself for build testing and deploying my spring boot project on ec2  by CICD,2025-09-23T10:55:29Z,0
Ip2TA2ijDmA,@avnishbhardwaj747,Best Video So far thanks Prashant,2025-09-23T10:53:18Z,0
Ip2TA2ijDmA,@aajkio1874,Pranam.......Jai ho Jai Jai Shree Radhe.................,2025-09-08T15:22:06Z,2
Ip2TA2ijDmA,@nsantanu,Excellent video 👍,2025-09-08T09:09:00Z,1
Ip2TA2ijDmA,@ganeshrajput6128,"I started my journey in AWS and DevOps with your videos 6 months ago. Your teaching is clear, simple, and to the point, sir. I already had knowledge of Jenkins, and after watching this video, I was able to understand GitLab very well. thank you sir.",2025-09-06T19:33:17Z,5
Ip2TA2ijDmA,@subhankar3000,"Thanks, Prashant! This video is super informative and cleared all my basics regarding GitLab. 
Can you please create a video on deploying a web application to an AWS EKS cluster using a GitLab CI/CD pipeline?",2025-08-27T16:09:21Z,0
Ip2TA2ijDmA,@bangalghotirjuti,Very easy to understand and learn. Thank you for doing this..,2025-08-19T16:37:55Z,1
Ip2TA2ijDmA,@DeeepanshuYadav-k7z,thank you for a great lecture on gitlab,2025-08-15T05:58:08Z,0
Ip2TA2ijDmA,@babarfarooq9813,A job well done!,2025-08-11T07:28:24Z,0
Ip2TA2ijDmA,@swarooppatil2212,class Prashant!!!!,2025-08-11T06:48:52Z,0
Ip2TA2ijDmA,@Ramesha-s6n,well meaned videos,2025-07-31T19:02:44Z,1
Ip2TA2ijDmA,@shadabahmadkhan4986,Thank you,2025-07-31T10:08:53Z,1
Ip2TA2ijDmA,@umegallery7698,"Thanks a lot, Now it's crystal clear for me about CI/CD. superb explanation and examples.",2025-07-21T15:40:05Z,1
Ip2TA2ijDmA,@technicalhassanali6615,can u plz resolve the WEB IDE issue,2025-07-21T00:14:35Z,0
Ip2TA2ijDmA,@manojbhamre6062,love ur this basic video to start...Thanks:),2025-07-15T11:07:17Z,1
Ip2TA2ijDmA,@somesbhowmick2082,"Really Clear and  informative, great job",2025-07-04T14:04:45Z,1
